time,open,high,low,close,Volume,Volume MA,MA,MA,MA
1749196800,34.37,34.8,34.37,34.77,75.834,,,,
1749211200,34.77,36.99,34.02,35.35,715.443,,,,
1749225600,34.63,35.41,33.85,34.32,49.576,,,,
1749240000,34.42,35.36,33.61,33.61,183.265,,,,
1749254400,33.68,34.51,33.2,34.46,40.08,,,,
1749268800,33.61,34.59,32.24,34.59,28.454,,,,
1749283200,34.02,35.66,34.02,34.34,59.165,,,,
1749297600,33.8,35.31,33.75,34.53,82.415,,,,
1749312000,36.59,36.59,34.13,34.78,25.739,,,,
1749326400,34.78,34.95,34.09,34.15,2.101,,,,
1749340800,35,35.55,34.9,35.53,98.95,,,,
1749355200,35.59,35.71,35.47,35.47,15.829,,,,
1749369600,35.09,35.67,34.99,34.99,1.232,,,,
1749384000,35.5,45,35.1,35.53,296.546,,,,
1749398400,35.66,44.98,35.62,35.62,48.762,,,,
1749412800,36.36,41,35.49,36.25,19.091,,,,
1749441600,36.5,36.5,36.25,36.25,253.742,,,,
1749456000,36.32,40.98,36.32,40.98,36.54,,,,
1749470400,40.98,40.98,36.25,40.98,257.769,,,,
1749484800,40.98,43,37.5,37.5,36.316,116.34244999999996,,,
1749499200,39.44,50,37.62,47,203.095,122.70549999999996,,,
1749513600,47,47,38.7,39.24,40.926,88.97964999999996,,,
1749528000,39.3,46.96,38.32,39.24,793.62,126.18184999999997,,,
1749542400,39.55,41.79,39.55,41.5,1004.018,167.21949999999998,,,36.23809523809524
1749556800,41.71,46.96,39.62,40.17,211.245,175.77774999999997,,,36.45095238095238
1749571200,40.45,48.88,39.9,48.88,1055.603,227.1352,,,36.63619047619048
1749585600,44.7,47.49,41.2,47.49,194.348,233.89434999999997,,,36.978095238095236
1749600000,47.49,47.49,41.05,44.09,60.666,232.80689999999998,,,37.29047619047619
1749614400,44.09,47.43,41.77,44.09,179.189,240.47940000000003,,,37.97714285714286
1749628800,44.09,47.99,41.02,41.02,981.789,289.46380000000005,,,38.59142857142857
1749643200,41.36,47.49,41.36,43.87,396.556,304.3441,,,39.05571428571428
1749657600,43.79,43.79,42.43,42.56,1108.805,358.9929000000001,,,39.51095238095238
1749672000,42.27,42.63,41.16,41.98,908.127,404.33765000000005,,,39.80809523809524
1749686400,42.07,42.07,40.52,41.77,344.041,406.7124,,,40.27095238095238
1749700800,41.97,47,41.75,41.9,336.728,421.1107,,,40.605714285714285
1749715200,42.27,47,40.21,40.21,169.003,428.60630000000003,,,40.91571428571429
1749729600,41.01,46.85,40.23,46,411.573,436.49785,,,41.238571428571426
1749744000,46,46.85,42.8,44,499.241,459.63289999999995,,,41.54190476190476
1749758400,43.48,46.79,41.03,41.03,592.423,476.3656,,,41.76047619047619
1749772800,41.03,44.7,37.62,39.95,1500.338,549.5667,,,42.2247619047619
1749787200,39.95,41.9,39.95,41.9,64.291,542.6265,,,42.59380952380952
1749801600,41.9,43.55,41.9,41.9,47.685,542.9644499999999,,,42.59619047619047
