time,open,high,low,close,Volume,Volume MA,MA,MA,MA
1755615600,4191.61,4232.93,4169.42,4192.14,69945.0939,30194.719744999857,,,
1755619200,4192.14,4206.33,4138.45,4142.45,61864.1498,32589.972304999857,,,
1755622800,4142.45,4188.84,4133.56,4186.01,41597.1685,34107.95276499986,,,
1755626400,4186.01,4187.35,4121.47,4145.78,36545.2315,34944.41103499986,,,4280.534285714288
1755630000,4145.77,4168,4113.63,4142,51716.702,36219.08532999986,,,4270.408571428574
1755633600,4142,4163.93,4114.23,4158.94,28365.0189,35851.205344999864,,4340.060000000005,4263.447619047622
1755637200,4158.94,4164.97,4137,4153.15,12321.4942,35383.89183499986,,4331.843200000006,4253.5733333333355
1755640800,4153.15,4154.49,4119.78,4131.78,15879.1205,35362.401584999854,,4324.323600000005,4244.105714285717
1755644400,4131.78,4135.69,4067.34,4075.59,50275.4549,35623.75100499986,4462.392749999999,4316.888000000005,4236.770000000002
1755648000,4075.58,4115.51,4075,4104.95,30795.7546,35066.31463999986,4461.696199999999,4309.249600000005,4227.764761904765
1755651600,4104.96,4123.02,4060,4109.94,37840.2339,36123.240374999856,4461.295749999999,4303.048400000005,4219.958571428574
1755655200,4109.94,4142.73,4105.62,4137.7,25127.9404,36455.267279999855,4460.84175,4296.920200000004,4209.943333333336
1755658800,4137.71,4158.32,4128.27,4140.92,20592.9601,36142.59831499985,4460.626249999999,4290.207200000004,4204.528571428575
1755662400,4140.92,4180.65,4139.51,4169.96,22958.5869,36388.52691499986,4460.50045,4282.222200000005,4198.584285714288
1755666000,4169.96,4184.35,4154.54,4183.26,12130.6749,35566.950249999856,4459.8676,4273.890200000004,4194.16666666667
1755669600,4183.26,4188.84,4169.1,4182.21,19321.5001,35927.40181999985,4459.1383,4266.642400000004,4189.363809523811
1755673200,4182.22,4211.74,4182.22,4185.22,21436.9491,36297.84810499985,4457.867549999999,4260.132400000005,4186.297142857145
1755676800,4185.22,4242,4179.6,4239.03,28057.2397,36905.36590499985,4456.831649999999,4255.023600000004,4182.838095238098
1755680400,4239.03,4239.47,4217.78,4222.74,17794.7377,35538.40004499986,4455.912949999999,4252.015000000005,4178.144285714288
1755684000,4222.74,4232.97,4210.37,4226.62,11589.8797,30807.794564999862,4455.12545,4249.275800000005,4173.344761904764
1755687600,4226.62,4231.96,4150.26,4195.3,37866.5103,29203.86538499986,4454.5331,4246.176600000005,4170.016190476193
1755691200,4195.29,4222.15,4175.85,4204.64,25146.3666,27367.976224999857,4454.167199999999,4243.619200000005,4166.066666666669
1755694800,4204.64,4215.25,4127.65,4135.78,48189.1067,27697.573134999857,4453.983799999999,4243.336800000005,4162.951904761907
1755698400,4135.77,4235.81,4106.37,4213.4,68751.8204,29307.902579999856,4453.791749999999,4242.642200000005,4163.1280952380985
1755702000,4213.39,4308.49,4206.02,4255.9,73537.6869,30398.95182499985,4453.601749999999,4241.992400000005,4163.723333333336
1755705600,4255.68,4329.87,4254.72,4301.88,45604.3229,31260.91702499985,4453.425249999999,4240.044000000005,4163.405714285717
1755709200,4301.87,4364.77,4298.4,4343.91,36867.1655,32488.200589999855,4453.1889999999985,4238.851000000005,4164.710000000004
1755712800,4343.92,4345.37,4263.08,4291.67,53502.8779,34369.38845999986,4452.863649999998,4236.079200000005,4169.953809523813
1755716400,4291.67,4351.73,4286.71,4346.65,23867.0559,33048.96850999985,4452.409699999998,4233.481200000004,4177.567142857147
1755720000,4346.64,4371.68,4331.71,4355.4,18394.3221,32428.896884999856,4451.878199999998,4232.876600000004,4186.375238095241
1755723600,4355.39,4366.66,4320.53,4342.1,21062.2705,31589.998714999856,4451.129599999998,4232.243400000004,4192.971428571432
