time,open,high,low,close,Volume,Volume MA,MA,MA,MA
1547596800,0.5355,0.5355,0.4668,0.4895,1343660.31,,,,
1547683200,0.4895,0.4953,0.4639,0.4756,1411725.35,,,,
1547769600,0.4762,0.5112,0.4601,0.4894,984417.59,,,,
1547856000,0.4908,0.5,0.4673,0.4831,735443.2,,,,
1547942400,0.4831,0.492,0.459,0.4834,677499.56,,,,
1548028800,0.4834,0.5198,0.465,0.4972,897787.84,,,,
1548115200,0.4972,0.5656,0.4956,0.5344,1784953.5,,,,
1548201600,0.5342,0.5475,0.4901,0.5046,1827069.39,,,,
1548288000,0.5046,0.5065,0.4518,0.5017,1529219.53,,,,
1548374400,0.5017,0.5157,0.4712,0.4739,1112869.08,,,,
1548460800,0.4736,0.4884,0.4624,0.4661,865653.89,,,,
1548547200,0.4661,0.4666,0.4229,0.4303,2278919.65,,,,
1548633600,0.4303,0.4313,0.3504,0.4116,4006211.85,,,,
1548720000,0.4104,0.4638,0.4061,0.4505,5190825.37,,,,
1548806400,0.4505,0.4514,0.413,0.4249,2092369.59,,,,
1548892800,0.425,0.441,0.3811,0.3832,2029033.61,,,,
1548979200,0.3832,0.43,0.38,0.4147,1899232.56,,,,
1549065600,0.4163,0.433,0.3985,0.4136,821033.48,,,,
1549152000,0.4136,0.417,0.386,0.3963,1065170.56,,,,
1549238400,0.3963,0.4125,0.3867,0.3943,1449384.96,1700124.0435,,,
1549324800,0.3943,0.4327,0.3902,0.4224,1299107.03,1697896.3794999998,,,
1549411200,0.4224,0.4236,0.3915,0.4,1368546.21,1695737.4224999999,,,
1549497600,0.4,0.4065,0.3913,0.4021,498842.36,1671458.6609999998,,,
1549584000,0.4021,0.45,0.3985,0.4383,2015969.58,1735484.9799999997,,,0.45431904761904757
1549670400,0.4383,0.4844,0.431,0.4612,1384815.95,1770850.7994999997,,,0.4500571428571429
1549756800,0.4648,0.48,0.4325,0.4499,2000850.55,1826003.9349999994,,,0.4465571428571429
1549843200,0.4495,0.4515,0.42,0.4289,1580197.39,1815766.1294999993,,,0.4441238095238096
1549929600,0.4289,0.4374,0.4176,0.4277,941303.58,1771477.8389999992,,,0.4430809523809524
1550016000,0.4277,0.4454,0.4183,0.4411,935377.38,1741785.7314999993,,,0.4414857142857143
1550102400,0.4422,0.4442,0.4203,0.4259,942053.44,1733244.9494999994,,,0.4382333333333333
1550188800,0.4259,0.45,0.4222,0.4342,612251.8,1720574.8449999993,,,0.43315238095238096
1550275200,0.4342,0.4464,0.4251,0.4398,465491.58,1629903.4414999993,,,0.4301285714285714
1550361600,0.4398,0.4797,0.4317,0.4604,1616509.72,1510418.334999999,,,0.4265190476190476
1550448000,0.4604,0.4823,0.4534,0.471,1430254.78,1322389.805499999,,,0.4246285714285714
1550534400,0.471,0.4789,0.452,0.4598,1548002.44,1295171.4479999992,,,0.42337619047619046
1550620800,0.4548,0.4748,0.4432,0.4618,1358786.28,1261659.0814999992,,,0.42480952380952386
1550707200,0.4618,0.475,0.438,0.4438,1443214.98,1238858.2024999992,,,0.4276380952380953
1550793600,0.4438,0.465,0.44,0.4479,700523.77,1232832.7169999992,,,0.42808095238095245
1550880000,0.4479,0.464,0.4437,0.4585,925529.64,1225850.6709999994,,,0.42983809523809524
1550966400,0.4585,0.4644,0.3975,0.405,2154193.25,1261091.0854999993,,,0.43272380952380957
1551052800,0.4047,0.4749,0.4007,0.4723,1785356.21,1285403.5444999994,,,0.4343047619047619
1551139200,0.4722,0.474,0.43,0.4341,1775526.67,1305752.5674999994,,,0.43644285714285713
1551225600,0.4335,0.4412,0.4145,0.4274,854212.45,1323521.0719999992,,,0.43685714285714294
1551312000,0.4274,0.45,0.4166,0.4244,1059968.13,1275720.9994999992,,,0.4405714285714286
1551398400,0.4244,0.4386,0.4203,0.4285,560690.81,1234514.7424999992,,,0.4411285714285714
1551484800,0.4285,0.4372,0.4173,0.4221,331570,1151050.7149999992,,,0.44243333333333335
1551571200,0.4221,0.4292,0.4177,0.4205,225429.95,1083312.342999999,,,0.44349523809523805
1551657600,0.4205,0.4255,0.3929,0.4036,946382.19,1083566.2734999992,,,0.4430285714285715
1551744000,0.4029,0.4343,0.4023,0.4291,1686179.9,1121106.3994999991,,,0.44116666666666676
1551830400,0.4291,0.4385,0.4186,0.4296,716328.15,1109820.134999999,,,0.4397666666666668
1551916800,0.4296,0.4766,0.4256,0.4521,1498764.03,1154145.746499999,,,0.4385619047619048
1552003200,0.4521,0.5107,0.4519,0.4611,3248280.83,1293285.2089999993,,,0.4386285714285715
1552089600,0.4611,0.4824,0.4524,0.4746,1381686.43,1281544.0444999994,,,0.4380809523809524
1552176000,0.4742,0.546,0.4681,0.4981,2887991.86,1354430.8984999992,,,0.43932857142857146
1552262400,0.4982,0.5181,0.4382,0.4629,2633054.21,1408683.4869999993,,0.44379199999999996,0.4406095238095239
1552348800,0.4629,0.5079,0.4503,0.4876,2105182.67,1446003.306499999,,0.443044,0.4422666666666668
1552435200,0.4872,0.488,0.4671,0.4805,1263356.68,1437010.391499999,,0.442754,0.44406190476190494
1552521600,0.4814,0.4994,0.4722,0.4871,1720792.4,1488023.822999999,,0.442458,0.4436761904761906
1552608000,0.4871,0.496,0.4831,0.4858,577893.06,1470641.9939999988,,0.442758,0.4450000000000002
1552694400,0.4866,0.496,0.4681,0.4819,1768514.51,1451358.0569999989,,0.442348,0.44589047619047634
1552780800,0.4819,0.4887,0.4702,0.4785,1352126.73,1429696.582999999,,0.442156,0.4479523809523811
1552867200,0.4785,0.4833,0.467,0.4757,891826.09,1385511.553999999,,0.44107799999999997,0.44975714285714297
1552953600,0.4757,0.48,0.4648,0.477,530734.59,1369337.660999999,,0.440728,0.4508714285714287
1553040000,0.477,0.4899,0.4737,0.4807,696146.28,1351146.5684999991,,0.44040999999999997,0.45437142857142865
1553126400,0.4807,0.4842,0.4342,0.4548,1043991.8,1375311.6179999993,,0.44057,0.4545333333333334
1553212800,0.4551,0.4655,0.447,0.4646,863577.33,1401911.984499999,,0.440818,0.4565761904761906
1553299200,0.4646,0.4646,0.4545,0.4608,406749.66,1410977.9699999993,,0.441726,0.45911428571428586
1553385600,0.4606,0.4621,0.4485,0.4531,634173.75,1395367.547999999,,0.44303400000000004,0.46056190476190484
1553472000,0.4531,0.4949,0.441,0.4734,2441517.99,1433134.4524999992,,0.443638,0.46228095238095246
1553558400,0.4734,0.485,0.448,0.4605,1129722.2,1453804.154999999,,0.444236,0.46412380952380955
1553644800,0.4603,0.4997,0.4556,0.4946,1352736.34,1446502.7704999992,,0.445864,0.4656761904761905
1553731200,0.4967,0.5196,0.4846,0.4992,1443876.83,1356282.570499999,,0.446786,0.4690000000000001
1553817600,0.4992,0.5042,0.4887,0.5008,877803.92,1331088.4449999991,,0.44757600000000003,0.47049523809523824
1553904000,0.5008,0.5034,0.4858,0.494,675007.13,1220439.2084999993,,0.449118,0.47359047619047634
1553990400,0.494,0.541,0.4868,0.5084,2047013.33,1191137.1644999993,,0.450442,0.4758333333333335
1554076800,0.5084,0.563,0.5007,0.554,2288623.96,1200309.2289999991,,0.451886,0.47772380952380966
1554163200,0.5533,0.6,0.5326,0.5811,4081948.84,1341238.8369999991,,0.45387,0.47864761904761927
1554249600,0.5811,0.6073,0.517,0.562,4435492.21,1476973.8274999992,,0.45584399999999997,0.47913809523809536
1554336000,0.5588,0.5839,0.5195,0.5396,2088035.72,1552480.9604999993,,0.456958,0.48347619047619067
1554422400,0.5409,0.5799,0.539,0.5729,1039348.68,1516022.6689999993,,0.45790200000000014,0.48792857142857166
1554508800,0.5735,0.59,0.5557,0.5691,1176149.98,1507223.8314999992,,0.4599840000000001,0.49180952380952403
1554595200,0.5677,0.5918,0.5655,0.5773,956649.36,1510464.9949999992,,0.4630280000000001,0.49430952380952403
