time,open,high,low,close,Volume,Volume MA,MA,MA,MA
1735689600,3330.52,3359.03,3329.1,3357.24,3731.30752494,,,,
1735693200,3357.25,3359.41,3334.69,3339.81,1898.13082122,,,,
1735696800,3339.88,3360.92,3339.5,3354.63,2284.19638775,,,,
1735700400,3354.84,3355.97,3343.83,3347.42,1147.58406688,,,,
1735704000,3347.61,3349,3331.26,3333.43,2531.88799631,,,,
1735707600,3333.4,3343.25,3331.6,3337.34,2053.2045101,,,,
1735711200,3337.56,3340.3,3329.46,3339.23,2098.62387639,,,,
1735714800,3339.23,3342.22,3331.59,3339.54,1672.15919966,,,,
1735718400,3339.64,3341.63,3323.73,3330.64,1247.45614692,,,,
1735722000,3330.61,3334.96,3308.2,3327.75,2289.23024988,,,,
1735725600,3327.78,3331.91,3316.56,3319.46,3537.36317724,,,,
1735729200,3319.45,3340.76,3315.88,3333.53,3497.54306996,,,,
1735732800,3333.52,3345,3330.26,3339.8,3511.71468177,,,,
1735736400,3339.8,3345.98,3322.69,3336.24,7511.25803134,,,,
1735740000,3336.24,3352,3320.25,3338.08,9954.85327419,,,,
1735743600,3338.08,3347.31,3322.85,3345.52,7977.72256505,,,,
1735747200,3345.42,3349.37,3323.19,3330.98,9880.99017272,,,,
1735750800,3330.96,3337.28,3314,3336.06,10256.05310981,,,,
1735754400,3336.06,3343.67,3323.57,3340.22,9626.8343761,,,,
1735758000,3340.13,3356.64,3329.84,3349.17,9969.75760356,4833.893542089501,,,
1735761600,3349.17,3354.84,3343.74,3352.64,9082.08433007,5101.432382346002,,,
1735765200,3352.63,3364.49,3343.24,3361.14,4183.35376576,5215.693529573002,,,
1735768800,3361.56,3366.83,3352.24,3354.08,1900.68018499,5196.517719435002,,,
1735772400,3354.4,3360.09,3345.29,3353.32,1791.98867169,5228.737949675502,,,3339.463333333333
1735776000,3353.32,3393.31,3347.19,3383.23,3306.83143043,5267.485121381502,,,3339.649047619048
1735779600,3383.25,3399.4,3371.35,3377.3,2301.60171523,5279.904981638002,,,3340.328571428571
1735783200,3377.24,3391.67,3371.03,3391.67,2238.71539572,5286.909557604502,,,3340.2661904761903
1735786800,3391.62,3395.46,3380.89,3382.16,1611.90031818,5283.896613530503,,,3341.971428571428
1735790400,3382.16,3421,3380.67,3411.54,5280.02632887,5485.5251226280025,,,3344.0604761904765
1735794000,3411.52,3412.57,3398.39,3406.25,3493.50494997,5545.738857632502,,,3346.647619047619
1735797600,3406.41,3409.71,3396.16,3405.25,1846.08607735,5461.175002638002,,,3348.691904761905
1735801200,3405.25,3417.3,3403.73,3415.3,2080.7807,5390.336884140002,,,3352.120476190476
1735804800,3415.3,3437.32,3409.24,3432.83,2893.80773746,5359.4415369245025,,,3355.7209523809524
1735808400,3432.83,3466.07,3429.49,3463.57,3924.13958767,5180.085614741003,,,3359.4114285714286
1735812000,3463.58,3472,3453.71,3464.75,2314.48709247,4798.067305655002,,,3363.9752380952377
1735815600,3464.75,3484.46,3453.39,3467.32,4949.67069789,4646.664712297003,,,3368.7038095238095
1735819200,3467.44,3478.56,3462.41,3476.99,4228.22896158,4364.026651740002,,,3374.5976190476185
1735822800,3477.23,3481.16,3456.73,3462.73,3036.72058691,4003.060025595002,,,3380.717142857142
1735826400,3462.73,3506.11,3437.25,3492.34,10068.41819552,4025.1392165660022,,,3386.871428571428
1735830000,3492.18,3493.61,3452.05,3460.02,5058.56690978,3779.579681877002,,,3393.1319047619045
1735833600,3460.17,3486.83,3444.75,3467.11,4066.2431375,3528.7876222485015,,,3399.4057142857137
1735837200,3466.72,3476.43,3426.55,3447,4419.3379715,3540.586832535502,,,3406.8476190476185
1735840800,3447.01,3462.51,3437.28,3462,4023.35848968,3646.720747770002,,,3412.5523809523806
1735844400,3461.99,3471.74,3456.21,3460,3220.99126728,3718.1708775495026,,,3418.1685714285704
1735848000,3460,3472.68,3448.71,3448.79,3778.64664689,3741.7616383725026,,,3422.6619047619038
1735851600,3450.28,3452.93,3439.19,3451.04,2261.75419242,3739.769262232003,,,3427.464761904762
1735855200,3451.03,3451.04,3417.93,3437.39,3114.94972091,3783.5809784915023,,,3432.508571428571
1735858800,3437.38,3453.16,3434.19,3452.39,2688.74042704,3837.4229839345016,,,3437.0547619047616
1735862400,3452.39,3462.96,3443.46,3446.08,1874.76721968,3667.160028475002,,,3440.28380952381
1735866000,3446.07,3462,3439.54,3461.2,1789.04437741,3581.936999847002,,,3443.1452380952383
1735869600,3461.3,3473,3453.69,3455.09,1909.40464167,3585.102928063002,,,3446.036666666666
1735873200,3454.57,3469.69,3452.75,3466.89,1961.19568812,3579.123677469002,,,3449.0804761904756
1735876800,3467.19,3467.93,3452.83,3455.55,2334.36101926,3551.1513415590025,,,3451.445238095237
1735880400,3455.55,3457.8,3441.67,3452.59,1557.15295458,3432.8020099045025,,,3453.7709523809517
1735884000,3452.56,3458.9,3439.17,3439.78,1209.03536671,3377.5294236165028,,3392.4703999999997,3456.70619047619
1735887600,3439.93,3441.75,3429.08,3429.93,1322.97414302,3196.1945958730025,,3394.4274,3458.6228571428564
1735891200,3430.26,3439.58,3420.62,3426.92,1522.44236973,3060.9052662805025,,3396.969,3459.563809523809
1735894800,3426.92,3448,3426.01,3440.78,829.58537266,2950.548505568003,,3398.9874,3458.4309523809525
1735898400,3441.12,3449.37,3435.6,3443.21,677.11889999,2480.9835407915025,,3401.0908,3456.772857142857
1735902000,3443.29,3465.27,3443.29,3462.92,1090.12261172,2282.561325888503,,3403.2178000000004,3454.849047619047
1735905600,3462.83,3474,3458.53,3461.36,1258.06819553,2142.1525787900027,,3405.0696000000003,3453.124761904761
1735909200,3461.37,3496,3460.62,3478.68,5860.90540061,2214.2309502455028,,3406.8234,3452.1952380952375
1735912800,3478.94,3534.44,3478.3,3525,9573.92868327,2491.759459925003,,3408.8482,3450.7942857142853
1735916400,3525,3573.12,3517.44,3562.38,12713.85745302,2966.4027692120026,,3411.0996,3450.858095238095
1735920000,3562.74,3596.74,3562.45,3581.48,14420.62489184,3498.5016814595024,,3413.803,3451.4090476190477
1735923600,3581.46,3592.08,3570.86,3572.24,3943.2105353,3582.5744986035015,,3416.6409999999996,3455.123333333333
1735927200,3572.26,3615.51,3571.27,3603.54,6824.41554404,3768.047789760002,,3419.544,3459.903333333333
1735930800,3603.54,3629.9,3600.64,3621.59,10693.61030335,4168.291283575502,,3423.248,3465.6880952380952
1735934400,3621.58,3622.38,3598.48,3599.86,6994.40227065,4424.273036124002,,3427.7708,3471.5666666666666
1735938000,3599.85,3615.66,3593.7,3612.87,4118.25550917,4540.733592712002,,3432.6388,3478.828571428571
1735941600,3613.07,3622.75,3608.94,3614.81,4050.37689578,4647.782205417503,,3437.1731999999993,3487.5999999999995
1735945200,3614.81,3616.57,3600.12,3607.68,3800.46217995,4739.745530009002,,3442.6244,3494.622380952381
1735948800,3607.68,3619.32,3600.6,3601.4,2026.78402412,4724.366680252003,,3448.335,3502.5647619047613
1735952400,3601.36,3603.11,3581.29,3595.13,1751.52255455,4734.085160250503,,3453.5278,3509.879523809523
1735956000,3595.14,3598.84,3581.57,3594.77,1741.5773576,4760.712259795003,,3458.8017999999997,3517.1457142857134
1735959600,3594.96,3598.89,3589.39,3596.9,1538.63153612,4771.495129450003,,3464.0451999999996,3523.550952380952
1735963200,3596.91,3596.92,3582.54,3590.03,1595.09547822,4775.127784874503,,3468.9759999999997,3530.197619047618
1735966800,3590.06,3595.46,3584.98,3595.03,1112.4469707,4789.270864776503,,3473.9223999999995,3536.9680952380945
1735970400,3595.18,3605.83,3593.34,3598.94,802.40670061,4795.5352548075025,,3478.758599999999,3544.45
1735974000,3598.94,3608.37,3591.84,3592.58,1553.53469256,4818.705858849503,,3482.9893999999995,3552.073809523809
1735977600,3592.52,3602.5,3584.09,3584.11,1990.60336359,4855.332617252503,,3487.3813999999998,3560.0790476190473
1735981200,3584.1,3594.67,3582.65,3588.1,1098.05940963,4617.190317703503,,3491.3486,3567.6104761904758
1735984800,3588.2,3591.61,3571.29,3587.37,1827.21731238,4229.8547491590025,,3495.6059999999998,3574.723333333333
1735988400,3587.21,3604.51,3584,3600.76,2920.84222067,3740.203987541503,,3499.354,3580.494285714285
1735992000,3600.77,3642.84,3599.27,3634.33,2787.1762385,3158.531554874503,,3503.0806,3586.5295238095237
1735995600,3634.06,3648.46,3625.83,3643.61,3428.63241019,3132.802648619003,,3506.6577999999995,3591.7052380952373
1735999200,3643.62,3645.93,3632.53,3636.07,1902.41297986,2886.7025204100028,,3510.1137999999996,3595.312857142857
1736002800,3636.46,3661.95,3592.48,3607.58,6056.6531016,2654.854660322503,,3513.2045999999996,3598.739047619047
1736006400,3607.59,3627.87,3601.09,3621.38,2020.53910288,2406.161501934003,,3515.9483999999998,3601.697619047619
1736010000,3621.68,3633.73,3619.62,3632.87,1133.52357528,2256.924905239503,,3519.3399999999992,3604.7371428571428
1736013600,3631.89,3643.96,3618.42,3626.36,1435.33684452,2126.1729026765033,,3522.8657999999996,3604.9295238095233
1736017200,3626.36,3638.57,3623.09,3630.57,3294.10392262,2100.854989810003,,3526.0474,3604.919523809523
1736020800,3630.72,3667.36,3630.68,3659.96,2283.58547798,2113.695062503003,,3528.9443999999994,3606.4914285714276
1736024400,3659.79,3670.34,3652.87,3657.7,2524.82212537,2152.360041044003,,3531.5251999999996,3607.133809523809
1736028000,3657.98,3663.18,3645.74,3659.28,1366.94403945,2133.628375136503,,3534.9822,3607.8842857142854
