time,open,high,low,close,Volume,Volume MA,MA,MA,MA
1735689600,19.976,20.219,19.936,20.199,111998.34,,,,
1735693200,20.189,20.189,19.923,19.973,69783.72,,,,
1735696800,19.973,20.157,19.968,20.053,63876.15,,,,
1735700400,20.047,20.137,20,20.025,62069.26,,,,
1735704000,20.019,20.05,19.858,19.867,75162.23,,,,
1735707600,19.865,20.065,19.859,19.998,81889.17,,,,
1735711200,19.998,20.028,19.885,20.017,28875.93,,,,
1735714800,20.02,20.025,19.915,19.945,49370.35,,,,
1735718400,19.944,19.998,19.787,19.815,47362.7,,,,
1735722000,19.816,19.873,19.655,19.761,83110.64,,,,
1735725600,19.766,19.919,19.761,19.812,25385.96,,,,
1735729200,19.812,20.104,19.725,19.998,22576.01,,,,
1735732800,20.001,20.185,19.967,20.176,21261.8,,,,
1735736400,20.173,20.288,20.064,20.233,23788.08,,,,
1735740000,20.233,20.355,20.01,20.216,48338.07,,,,
1735743600,20.222,20.547,20.125,20.521,88423.15,,,,
1735747200,20.516,20.677,20.442,20.645,74564.91,,,,
1735750800,20.637,20.847,20.31,20.779,67175.51,,,,
1735754400,20.78,21.161,20.597,21.152,88970.67,,,,
1735758000,21.154,21.52,21.097,21.519,202713.93,66834.829,,,
1735761600,21.52,21.8,21.516,21.778,220219.76,72245.9,,,
1735765200,21.781,21.8,21.561,21.657,99378.24,73725.62599999999,,,
1735768800,21.654,21.685,21.489,21.501,79705.34,74517.0855,,,
1735772400,21.501,21.712,21.419,21.692,86381.14,75732.6795,,,20.308666666666667
1735776000,21.678,22.334,21.678,22.043,262289.55,85089.0455,,,20.378095238095238
1735779600,22.045,22.164,21.764,21.803,117525.25,86870.8495,,,20.450857142857142
1735783200,21.808,21.985,21.739,21.924,80173.62,89435.73400000001,,,20.528904761904762
1735786800,21.924,21.97,21.816,21.85,52311.03,89582.76800000001,,,20.625
1735790400,21.853,22.106,21.802,22.086,67131.22,90571.194,,,20.717190476190474
1735794000,22.088,22.259,22.017,22.159,87172.14,90774.269,,,20.808904761904763
1735797600,22.149,22.272,21.985,22.038,100147.96,94512.369,,,20.896190476190476
1735801200,22.04,22.342,21.979,22.307,64963.34,96631.73550000001,,,20.99814285714286
1735804800,22.309,22.309,22.026,22.202,68674.18,99002.3545,,,21.109761904761903
1735808400,22.198,22.491,22.079,22.406,54297.01,100527.801,,,21.218190476190475
