time,open,high,low,close,Volume,Volume MA,MA,MA,MA
1623945600,40.5,40.5,38.219,39.278,137199.61731,,,,
1623960000,39.188,39.64,38.555,39.25,64912.07433,,,,
1623974400,39.321,39.407,38.291,39.237,67398.4144,,,,
1623988800,39.237,39.45,38.597,39.042,37348.9254,,,,
1624003200,39.072,39.184,37.85,38.28,46008.89538,,,,
1624017600,38.281,38.342,35.5,35.617,138390.7544,,,,
1624032000,35.542,36.852,35,35.35,105990.0784,,,,
1624046400,35.403,36.906,35.365,36.842,76224.6584,,,,
1624060800,36.875,37.361,35.05,35.745,72940.4174,,,,
1624075200,35.705,36.433,35.356,36.39,24855.25135,,,,
1624089600,36.368,36.456,35.825,36.337,15188.01822,,,,
1624104000,36.292,36.989,35.88,36.347,62244.39339,,,,
1624118400,36.398,36.43,34.977,35.609,50811.2924,,,,
1624132800,35.617,36.01,35.14,35.2,36963.25639,,,,
1624147200,35.2,35.381,34.349,34.95,39418.48335,,,,
1624161600,34.942,35.645,34.907,35.378,19598.01321,,,,
1624176000,35.355,35.355,32.25,32.566,38399.215,,,,
1624190400,32.5,34.527,31.324,33.797,83580.5654,,,,
1624204800,33.788,35.387,33.505,34.977,60668.36239,,,,
1624219200,35.114,35.954,34.771,35.271,45524.39738,61183.254195,,,
1624233600,35.286,35.532,32.572,32.775,85440.37437,58595.292047999996,,,
1624248000,32.785,33.362,30.366,31.116,105064.83038,60602.9298505,,,
1624262400,31.115,31.798,28.414,30.547,120132.08434,63239.6133475,,,
1624276800,30.5,31.387,29.05,29.656,139845.2934,68364.4317475,,,36.10657142857143
1624291200,29.706,30.056,27.502,28.639,170546.6544,74591.31969850001,,,35.71790476190476
1624305600,28.642,28.916,26,26.625,215345.1574,78439.0398485,,,35.30347619047619
1624320000,26.631,28.773,25,27.978,241399.4394,85209.5078985,,,34.8472380952381
1624334400,28.037,28.103,26.072,26.464,64542.4403,84625.39699349999,,,34.35185714285714
1624348800,26.496,26.497,22,22.035,136645.3794,87810.6450935,,,33.79685714285714
1624363200,22.021,26.498,20.181,25.701,607089.6834,116922.36669600001,,,33.43309523809524
1624377600,25.711,28.386,25.553,26.501,257800.5284,129052.99220500002,,,33.009952380952384
1624392000,26.435,27.871,25.78,26.982,131259.8494,132503.76500550003,,,32.30485714285714
1624406400,26.979,31.261,25.682,29.987,328226.7014,146374.53545550004,,,31.826571428571427
1624420800,29.987,30.944,29.516,30.623,94820.52139,149267.3987055,,,31.355666666666668
1624435200,30.674,31.912,30.092,31.063,85671.5014,151580.04960800003,,,30.91019047619048
1624449600,31.03,32.957,29,29.094,247023.5334,162951.32561750003,,,30.607333333333333
1624464000,29.114,30.851,28.293,28.5,203706.1314,171216.67143750002,,,30.369904761904763
1624478400,28.5,31.061,28.296,30.838,186158.61439,176345.573887,,,30.172904761904768
