time,open,high,low,close,Volume,Volume MA,MA,MA,MA
1689278400,0.89,0.95,0.779,0.8177,54123524.592355,,,,
1689292800,0.8173,0.8279,0.722,0.7846,46870458.57595199,,,,
1689307200,0.785,0.82,0.7647,0.7707,21842701.924471,,,,
1689321600,0.7704,0.8083,0.7681,0.7993,11556462.902594,,,,
1689336000,0.7991,0.8,0.765,0.7782,21702086.455991,,,,
1689350400,0.7782,0.783,0.668,0.7002,39223019.954248,,,,
1689364800,0.7002,0.7267,0.6856,0.7186,21153361.90929,,,,
1689379200,0.7185,0.736,0.693,0.7217,16439012.853832,,,,
1689393600,0.7209,0.7334,0.7138,0.7255,5963374.952189,,,,
1689408000,0.7252,0.7294,0.7117,0.7184,4053805.301606,,,,
1689422400,0.7183,0.7343,0.7179,0.7237,7426066.460386,,,,
1689436800,0.7237,0.732,0.7019,0.7239,8801928.710117,,,,
1689451200,0.7237,0.7241,0.7083,0.715,6103613.808546,,,,
1689465600,0.7146,0.7272,0.7028,0.7121,7768749.630666,,,,
1689480000,0.7122,0.7197,0.7075,0.7155,3691301.212009,,,,
1689494400,0.7153,0.7624,0.7139,0.7503,9064867.251393,,,,
1689508800,0.7499,0.78,0.7425,0.772,15305804.64132,,,,
1689523200,0.7721,0.7903,0.7364,0.7435,18959116.547724,,,,
1689537600,0.7424,0.7623,0.7379,0.7475,9949726.686681,,,,
1689552000,0.7474,0.76,0.7419,0.7576,8257088.743587,16912803.655747853,,,
1689566400,0.7576,0.7576,0.745,0.75,5867884.247945,14500021.638527352,,,
1689580800,0.7497,0.7507,0.7203,0.7362,7283497.66762,12520673.593110751,,,
1689595200,0.7359,0.7449,0.7275,0.7393,7246937.745404,11790885.384157402,,,
1689609600,0.7393,0.765,0.7131,0.7344,18854351.296198,12155779.803837603,,,0.7450476190476191
1689624000,0.7343,0.7463,0.7313,0.7377,7599643.834381,11450657.672757104,,,0.7411666666666668
1689638400,0.7377,0.7488,0.7346,0.7389,6267798.650649,9802896.607577154,,,0.7390095238095238
1689652800,0.7385,0.7539,0.729,0.7415,6015815.796616,9046019.301943453,,,0.7372809523809524
1689667200,0.7412,0.7641,0.7367,0.7489,6104572.953388,8529297.306921253,,,0.734347619047619
