time,open,high,low,close,Volume,Volume MA,MA,MA,MA
1609459200,28976.325,29527.73,28757.765,29352.385,8783.14058126,,,,
1609473600,29355.2375,29445.5675,28896.5775,29165.0225,6565.52408084,,,,
1609488000,29165.2325,29475.0425,28941.755,29390.17,4173.52100377,,,,
1609502400,29385.23,29685.86,29100.1175,29257.215,6820.272895,,,,
1609516800,29262.7125,29434.51,28697.7925,29117.8475,7498.00083699,,,,
1609531200,29103.8675,29410.655,28959.39,29404.035,4512.18358866,,,,
1609545600,29406.05,29563.4375,29040.885,29435.53,5264.62943547,,,,
1609560000,29439.675,29885.3375,29307.4775,29837.945,5250.52603815,,,,
1609574400,29838.295,29965.1225,29542.845,29825.6075,4838.73253241,,,,
1609588800,29825.885,31883.105,29808.785,31784.4,20240.28912095,,,,
1609603200,31786,33275.3975,31782.16,33086.2975,25069.82093812,,,,
1609617600,33085.715,33117.83,30183.93,32223.72,26937.33892841,,,,
1609632000,32213.8175,32908.0775,31992.4175,32616.5825,6492.62407633,,,,
1609646400,32609.6175,34789.0725,32488.06,34492.0775,14544.46049062,,,,
1609660800,34491.2075,34676.4475,33437.0825,34445.45,8801.90848133,,,,
1609675200,34429.73,34606.4775,32858.2575,33566.6975,11825.13806902,,,,
1609689600,33573.8875,33858.0125,32281.115,32783.46,13943.32973585,,,,
1609704000,32758.9625,33865.445,32716.135,33096.3175,9847.94258268,,,,
1609718400,33087.9125,33627.9525,32452.985,33602.5175,8473.19778543,,,,
1609732800,33596.505,33663.4375,31343.295,32128.07,11589.65801578,10573.611960853501,,,
1609747200,32149.665,32605.7,27741.085,30778.7375,29770.81134454,11622.995499017501,,,
1609761600,30779.225,32245.5775,30472.45,31785.04,16532.27442774,12121.333016362501,,,
1609776000,31766.0875,31922.7675,30618.315,31691.46,13480.62693382,12586.688312865,,,
1609790400,31693.4875,32053.835,30880.395,32028.2225,9020.63391597,12696.706363913501,,,31399.527857142857
1609804800,32042.0275,32886.2125,31179.115,31202.1275,12174.39253916,12930.525949022001,,,31515.36857142857
1609819200,31207.1525,31585.2175,29913.0975,30841.9625,14258.16678762,13417.825108970002,,,31635.675119047617
1609833600,30838.6075,31816.3775,30831.635,31813.92,5953.04015513,13452.245644953004,,,31761.296666666665
1609848000,31814.68,32437.93,31164.1875,32153.0525,9388.27452758,13659.133069424503,,,31853.911547619045
1609862400,32168.1275,34291.835,31852.13,33808.685,15738.69287029,14204.131086318503,,,31936.012261904758
1609876800,33803.5525,34505.9225,33455.04,34052.6475,13597.84548372,13872.008904457005,,,32050.768690476187
1609891200,34066.4,34245.46,33363.855,34215.4325,9694.30847884,13103.233281493003,,,32180.174523809525
1609905600,34204.41,35867.3825,34203.58,34788.44,17396.22970189,12626.177820167004,,,32369.257380952382
1609920000,34785.41,35359.2175,33673.995,35039.41,10243.30264099,12813.711748400005,,,32570.545
1609934400,35033.6775,35185.335,34188.945,34669.7975,10247.62294841,12598.869871289504,,,32686.308452380956
