time,open,high,low,close,Volume,Volume MA,MA,MA,MA
1616544000,173,235.6,173,211.61,580.28968761,,,,
1616630400,212.06,222.22,195.29,214.67,1116.7069215,,,,
1616716800,216.56,225.03,215.67,221.83,1023.05522429,,,,
1616803200,221.67,223.8,214.23,221.82,839.84492277,,,,
1616889600,221.5,232.96,218.3,232.18,1783.54268251,,,,
1616976000,233.09,265.22,230.37,234.71,2085.03971835,,,,
1617062400,234,249.99,232.44,246.28,1905.86113332,,,,
1617148800,246.18,269.99,243.45,246.68,1643.69610832,,,,
1617235200,245.77,265.5,244.96,250.65,2536.50710256,,,,
1617321600,250.41,264.14,249.06,257.34,1044.2674179,,,,
1617408000,257.84,267.14,252.68,257.85,2196.03556918,,,,
1617494400,255.58,272.57,246.95,264.32,1858.825925,,,,
1617580800,263.69,269.11,242.67,264.09,2620.29137357,,,,
1617667200,265.17,276.95,261.88,270.4,2513.81843348,,,,
1617753600,270.55,280.52,252.38,257.08,5659.36957641,,,,
1617840000,257.65,272.12,251.13,269.85,2056.79394072,,,,
1617926400,269.85,290,266.23,273.16,2758.76245647,,,,
1618012800,273.16,300,273.16,292.56,3332.73818277,,,,
1618099200,293.25,330,291.8,329.96,4955.86903184,,,,
1618185600,329.99,359.15,313.75,314,4894.199271,2370.2757339785003,,,
1618272000,314.19,332,307.08,327.23,4087.92031704,2545.6572654500005,,,
1618358400,327.64,330.85,307.5,320.62,3574.44140069,2668.5439894095,,,
1618444800,320.62,347.3,317.86,345.6,3525.42833515,2793.6626449525,,,
1618531200,345.72,350,313.03,340.77,5590.30787842,3031.185792735,,,259.91761904761904
1618617600,341.17,375.99,340.84,363.49,6298.13307503,3256.915312361,,,265.1085714285714
1618704000,363.32,375.55,251.89,340,8394.90674098,3572.4086634924997,,,271.34333333333336
1618790400,339.89,365.48,305.39,357,4133.30422167,3683.78081791,,,277.00714285714287
1618876800,358.16,415.11,327.56,404.2,15212.10173607,4362.2010992975,,,283.75333333333333
1618963200,403.88,425,373.95,375.24,9629.61477833,4716.856483086,,,288.88761904761907
1619049600,375.24,390.54,340,347.15,6115.55984961,4970.4211046715,,,294.7109523809524
1619136000,347.1,354.9,300.03,354.9,7241.55841001,5222.697246712999,,,302.2309523809524
1619222400,353.06,398,338.46,381.54,7425.05768849,5501.0088348875,,,308.35285714285715
1619308800,381.8,405,335.3,355.52,6631.05554037,5701.5470432275,,,312.9480952380952
1619395200,355.15,405,342.21,405,7666.76735364,5959.1944892354995,,,317.5938095238095
